campagne,date,jour,variable,groupe,valeur,date_year,date_month,date_week,jour_year,jour_month,jour_week
2020-2021,2020-10-13,1970-01-01 00:00:00.000000001,ACTE(VGP),65 ans et plus,296119,2020,10,42,1970,1,1
2020-2021,2020-10-13,1970-01-01 00:00:00.000000001,DOSES(J07E1),65 ans et plus,1685461,2020,10,42,1970,1,1
2020-2021,2020-10-13,1970-01-01 00:00:00.000000001,ACTE(VGP),moins de 65 ans,75969,2020,10,42,1970,1,1
2020-2021,2020-10-13,1970-01-01 00:00:00.000000001,DOSES(J07E1),moins de 65 ans,479784,2020,10,42,1970,1,1
2020-2021,2020-10-14,1970-01-01 00:00:00.000000002,ACTE(VGP),65 ans et plus,242598,2020,10,42,1970,1,1
2020-2021,2020-10-14,1970-01-01 00:00:00.000000002,DOSES(J07E1),65 ans et plus,1120461,2020,10,42,1970,1,1
2020-2021,2020-10-14,1970-01-01 00:00:00.000000002,ACTE(VGP),moins de 65 ans,55324,2020,10,42,1970,1,1
2020-2021,2020-10-14,1970-01-01 00:00:00.000000002,DOSES(J07E1),moins de 65 ans,310336,2020,10,42,1970,1,1
2020-2021,2020-10-15,1970-01-01 00:00:00.000000003,ACTE(VGP),65 ans et plus,181179,2020,10,42,1970,1,1
2020-2021,2020-10-15,1970-01-01 00:00:00.000000003,DOSES(J07E1),65 ans et plus,742863,2020,10,42,1970,1,1
2020-2021,2020-10-15,1970-01-01 00:00:00.000000003,ACTE(VGP),moins de 65 ans,41626,2020,10,42,1970,1,1
2020-2021,2020-10-15,1970-01-01 00:00:00.000000003,DOSES(J07E1),moins de 65 ans,207436,2020,10,42,1970,1,1
2020-2021,2020-10-16,1970-01-01 00:00:00.000000004,ACTE(VGP),65 ans et plus,140304,2020,10,42,1970,1,1
2020-2021,2020-10-16,1970-01-01 00:00:00.000000004,DOSES(J07E1),65 ans et plus,543197,2020,10,42,1970,1,1
2020-2021,2020-10-16,1970-01-01 00:00:00.000000004,ACTE(VGP),moins de 65 ans,36171,2020,10,42,1970,1,1
2020-2021,2020-10-16,1970-01-01 00:00:00.000000004,DOSES(J07E1),moins de 65 ans,167572,2020,10,42,1970,1,1
2020-2021,2020-10-17,1970-01-01 00:00:00.000000005,ACTE(VGP),65 ans et plus,48785,2020,10,42,1970,1,1
2020-2021,2020-10-17,1970-01-01 00:00:00.000000005,DOSES(J07E1),65 ans et plus,243363,2020,10,42,1970,1,1
2020-2021,2020-10-17,1970-01-01 00:00:00.000000005,ACTE(VGP),moins de 65 ans,18479,2020,10,42,1970,1,1
